Unnamed: 0,Date,Adj Close,Close,High,Low,Open,Volume,MA5,MA20,MA50,MA200,daily_return,drawdown,excess_return,momentum_5d,momentum_20d,roc_5d,roc_20d,volatility,ma_5_20_crossover,ma_20_50_crossover,RSI,volume_pressure,gap_percent,atr,future_5d_return
0,1980-03-17,2.296797752,3.291227102,3.344743013,3.291227102,0.0,41109.0,,,,,,0.0,,,,,,,0,0,50,135299.05493611802,,1,-0.03149607619481076
1,1980-03-18,2.306133986,3.304605961,3.35812211,3.304605961,0.0,9343.0,,,,,0.004065006329058818,0.0,0.003985641249693739,,,,,,0,0,50,30874.933493623,-100.0,1,-0.019841313591507315
2,1980-03-19,2.306133986,3.304605961,3.304605961,3.304605961,3.304605961,0.0,,,,,0.0,0.0,-7.936507936507937e-05,,,,,,0,0,50,0.0,0.0,1,-0.019841313591507315
3,1980-03-20,2.306133986,3.304605961,3.35812211,3.304605961,0.0,10277.0,,,,,0.0,0.0,-7.936507936507937e-05,,,,,,0,0,50,33961.435461197,-100.0,1,-0.00803213208604614
4,1980-03-21,2.362153769,3.384880066,3.438395977,3.384880066,0.0,8409.0,3.3179850102,,,,0.02429158149182431,0.0,0.02421221641245923,,,,,,0,0,50,28463.456474994,-100.0,1,0.020161334915812512
5,1980-03-24,2.371489763,3.398258924,3.451775074,3.398258924,0.0,2803.0,3.3393913745999995,,,,0.003952535315619121,0.0,0.003873170236254042,0.03252033927861109,,3.252033927861109,,,0,0,50,9525.319763972,-100.0,1,0.04098370049478195
6,1980-03-25,2.352816343,3.371500969,3.425017118,3.371500969,0.0,27095.0,3.3527703762,,,,-0.00787401890156847,-0.7874018901568469,-0.00795338398093355,0.020242960519189168,,2.024296051918917,,,0,0,50,91350.81875505499,-100.0,1,0.04132240893092476
7,1980-03-26,2.352816343,3.371500969,3.425017118,3.371500969,0.0,1869.0,3.3661493778000002,,,,0.0,-0.7874018901568469,-7.936507936507937e-05,0.020242960519189168,,2.024296051918917,,,0,0,50,6301.335311061,-100.0,1,0.04132240893092476
8,1980-03-27,2.32480669,3.331363916,3.384880066,3.331363916,0.0,14015.0,3.3715009687999995,,,,-0.011904802451207619,-1.9685082713255864,-0.011984167530572699,0.008097169621972933,,0.8097169621972933,,,0,0,50,46689.06528274,-100.0,1,0.02892567136458646
9,1980-03-28,2.315470457,3.317985058,3.371500969,3.317985058,0.0,36438.0,3.3581219672000002,,,,-0.004016030171829388,-2.3622056998973906,-0.004095395251194467,-0.019762888697870906,,-1.9762888697870906,,,0,0,50,120900.73954340401,-100.0,1,0.02479347482381633
11,1980-04-01,2.278123856,3.264468908,3.317985058,3.264468908,0.0,2803.0,3.331363964,,,,-0.016129111211928837,-3.9370165426511727,-0.016208476291293916,-0.03937016542651173,,-3.9370165426511727,,,0,0,50,9150.306349124,-100.0,1,-0.02400008152733979
